Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
CPLX0-7529,COG1596,COG0489,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['GFCE_ECOLI', 'APBC_ECOLI', 'WZC_ECOLI', 'ETK_ECOLI', 'WZA_ECOLI']",0.5,['APBC_MYCTU'],0.5,['APBC_MYCLE'],0,[],0,[]
ABC-48-CPLX,COG4135,COG4136,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YNJC_ECOLI', 'YNJD_ECOLI']",0,[],0,[],0,[],0,[]
RUVABC-CPLX,COG0817,COG2255,COG0632,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RUVB_ECOLI', 'RUVA_ECOLI', 'RUVC_ECOLI']",1,"['RUVC_MYCTU', 'RUVB_MYCTU', 'RUVA_MYCTU']",1,"['RUVB_MYCLE', 'RUVC_MYCLE', 'RUVA_MYCLE']",0,[],0,[]
SULFITE-REDUCT-CPLX,COG0369,COG0155,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYSI_ECOLI', 'CYSJ_ECOLI']",0.5,"['SIR_MYCTU', 'Q10675_MYCTU']",0,[],1,"['CYSJ_BUCAI', 'CYSI_BUCAI']",0,[]
CYT-O-UBIOX-CPLX,COG3125,COG1622,COG0843,COG1845,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYOD_ECOLI', 'CYOA_ECOLI', 'CYOC_ECOLI', 'CYOB_ECOLI']",0.75,"['COX1_MYCTU', 'COX3_MYCTU', 'COX2_MYCTU']",0.75,"['COX1_MYCLE', 'COX3_MYCLE', 'COX2_MYCLE']",1,"['CYOB_BUCAI', 'CYOC_BUCAI', 'CYOD_BUCAI', 'CYOA_BUCAI']",0.75,"['Q057F0_BUCCC', 'Q057E8_BUCCC', 'Q057E9_BUCCC']"
CPLX0-7428,COG2895,COG0175,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYSN_ECOLI', 'CYSH_ECOLI', 'CYSD_ECOLI']",1,"['CYSH_MYCTU', 'CYSD_MYCTU', 'CYSNC_MYCTU']",0,[],1,"['CYSH_BUCAI', 'CYSN_BUCAI', 'CYSD_BUCAI']",0,[]
ABC-51-CPLX,COG0687,COG3842,COG1177,COG1176,,,,,,,,,,,,,,,,,,,,,,,,1,"['YDCU_ECOLI', 'POTG_ECOLI', 'POTF_ECOLI', 'YDCT_ECOLI', 'POTA_ECOLI', 'FBPC_ECOLI', 'POTH_ECOLI', 'POTD_ECOLI', 'POTC_ECOLI', 'POTI_ECOLI', 'POTB_ECOLI']",0,[],0,[],0,[],0,[]
PABSYNMULTI-CPLX,COG0512,COG0147,COG0115,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PABA_ECOLI', 'TRPE_ECOLI', 'ILVE_ECOLI', 'PABB_ECOLI', 'PABC_ECOLI', 'TRPGD_ECOLI']",1,"['TRPE_MYCTU', 'O05591_MYCTU', 'ILVE_MYCTU', 'Q79FW0_MYCTU', 'MBTI_MYCTU', 'TRPG_MYCTU']",1,"['Q7AQP6_MYCLE', 'Q7AQL1_MYCLE', 'ILVE_MYCLE', 'TRPE_MYCLE']",0,[],0,[]
ACETOACETYL-COA-TRANSFER-CPLX,COG2057,COG1788,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ATOD_ECOLI', 'ATOA_ECOLI']",1,"['SCOB_MYCTU', 'Y3552_MYCTU', 'SCOA_MYCTU', 'Y3551_MYCTU']",0,[],0,[],0,[]
CPLX0-3781,COG4115,COG2161,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YOEB_ECOLI', 'YAFN_ECOLI', 'YEFM_ECOLI']",1,"['RELF_MYCTU', 'RELK_MYCTU', 'RELB_MYCTU', 'Y268_MYCTU', 'RELJ_MYCTU']",0,[],0,[],0,[]
ABC-57-CPLX,COG0842,COG0842,COG1131,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RBBA_ECOLI', 'RBBA_ECOLI', 'YHHJ_ECOLI', 'YADH_ECOLI', 'YBHS_ECOLI', 'YBHF_ECOLI', 'YBHR_ECOLI', 'YADG_ECOLI']",1,"['O33188_MYCTU', 'O33189_MYCTU', 'DRRC_MYCTU', 'FLQE1_MYCTU', 'O86311_MYCTU', 'DRRB_MYCTU', 'O86349_MYCTU', 'O53149_MYCTU', 'DRRA_MYCTU', 'ABC1_MYCTU', 'ABC1_MYCTU']",1,"['Q49938_MYCLE', 'Q49935_MYCLE', 'Q7AQH8_MYCLE', 'Q7AQH9_MYCLE', 'Q9CB71_MYCLE']",0,[],0,[]
CPLX0-7935,COG4107,COG3627,COG3626,COG3625,COG3624,,,,,,,,,,,,,,,,,,,,,,,1,"['PHNI_ECOLI', 'PHNG_ECOLI', 'PHNK_ECOLI', 'PHNJ_ECOLI', 'PHNH_ECOLI']",0,[],0,[],0,[],0,[]
ETHAMLY-CPLX,COG4303,COG4302,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['EUTC_ECOLI', 'EUTB_ECOLI']",0,[],0,[],0,[],0,[]
FORMATEDEHYDROGO-CPLX,COG0243,COG0437,COG2864,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'BISC_ECOLI', 'FDOH_ECOLI', 'FDNI_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'YNFG_ECOLI', 'NRFC_ECOLI', 'FDOG_ECOLI', 'FDNG_ECOLI', 'HYBA_ECOLI', 'FDOI_ECOLI', 'YDHX_ECOLI', 'YDHY_ECOLI', 'NAPA_ECOLI', 'DMSB_ECOLI', 'YDEP_ECOLI', 'FDNH_ECOLI']",0.333333333,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
ABC-22-CPLX,COG1173,COG0444,COG4608,COG0601,COG4166,,,,,,,,,,,,,,,,,,,,,,,1,"['DPPB_ECOLI', 'OPPF_ECOLI', 'OPPC_ECOLI', 'MPPA_ECOLI', 'NIKC_ECOLI', 'GSID_ECOLI', 'DDPD_ECOLI', 'OPPB_ECOLI', 'YGIS_ECOLI', 'SAPA_ECOLI', 'DDPB_ECOLI', 'DPPD_ECOLI', 'DPPC_ECOLI', 'NIKD_ECOLI', 'NIKB_ECOLI', 'YEJA_ECOLI', 'DPPF_ECOLI', 'OPPA_ECOLI', 'DDPC_ECOLI', 'OPPD_ECOLI', 'GSIC_ECOLI']",0.6,"['I6YGV9_MYCTU', 'I6X811_MYCTU', 'L0TEV4_MYCTU', 'Y1282_MYCTU', 'Y1283_MYCTU']",0.4,"['Q9CC80_MYCLE', 'Q9CC79_MYCLE']",0,[],0,[]
ABC-41-CPLX,COG4172,COG4174,COG4239,COG4166,,,,,,,,,,,,,,,,,,,,,,,,1,"['YEJF_ECOLI', 'MPPA_ECOLI', 'YGIS_ECOLI', 'SAPA_ECOLI', 'YEJB_ECOLI', 'YEJE_ECOLI', 'YEJA_ECOLI', 'OPPA_ECOLI']",0.25,['I6X811_MYCTU'],0,[],0,[],0,[]
CPLX0-231,COG3775,COG3414,b1355,,,,,,,,,,,,,,,,,,,,,,,,,1,"['SGCC_ECOLI', 'SGCB_ECOLI', 'ULAB_ECOLI', 'PTKB_ECOLI', 'PTKC_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-3937,COG3250,COG2731,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YHCH_ECOLI', 'EBGC_ECOLI', 'BGLR_ECOLI', 'BGAL_ECOLI', 'TABA_ECOLI', 'YIAL_ECOLI', 'BGA2_ECOLI']",0,[],0,[],0,[],0,[]
ABC-25-CPLX,COG3842,COG1176,COG1177,COG0687,,,,,,,,,,,,,,,,,,,,,,,,1,"['YDCU_ECOLI', 'POTG_ECOLI', 'POTF_ECOLI', 'YDCT_ECOLI', 'POTA_ECOLI', 'FBPC_ECOLI', 'POTH_ECOLI', 'POTD_ECOLI', 'POTC_ECOLI', 'POTI_ECOLI', 'POTB_ECOLI']",0,[],0,[],0,[],0,[]
SULFATE-ADENYLYLTRANS-CPLX,COG0175,COG2895,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYSN_ECOLI', 'CYSH_ECOLI', 'CYSD_ECOLI']",1,"['CYSH_MYCTU', 'CYSD_MYCTU', 'CYSNC_MYCTU']",0,[],1,"['CYSH_BUCAI', 'CYSN_BUCAI', 'CYSD_BUCAI']",0,[]
ABC-12-CPLX,COG1126,COG0765,COG0834,,,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'GLTK_ECOLI', 'EVGS_ECOLI', 'YECS_ECOLI', 'YECC_ECOLI', 'HISJ_ECOLI', 'GLTJ_ECOLI', 'YHDZ_ECOLI', 'FLIY_ECOLI', 'GLNP_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'GLNQ_ECOLI', 'GLTI_ECOLI', 'YHDY_ECOLI', 'GLTL_ECOLI']",0.333333333,['P96257_MYCTU'],0.333333333,['Q9CCX0_MYCLE'],0,[],0,[]
PABASYN-CPLX,COG0147,COG0512,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PABA_ECOLI', 'TRPE_ECOLI', 'PABB_ECOLI', 'TRPGD_ECOLI']",1,"['TRPE_MYCTU', 'O05591_MYCTU', 'MBTI_MYCTU', 'TRPG_MYCTU']",1,"['Q7AQP6_MYCLE', 'Q7AQL1_MYCLE', 'TRPE_MYCLE']",0,[],0,[]
CPLX0-1601,COG0243,COG0243,COG0437,COG3302,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'BISC_ECOLI', 'FDOH_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'YNFG_ECOLI', 'YNFH_ECOLI', 'NRFC_ECOLI', 'FDOG_ECOLI', 'FDNG_ECOLI', 'HYBA_ECOLI', 'YDHX_ECOLI', 'DMSC_ECOLI', 'YDHY_ECOLI', 'NAPA_ECOLI', 'DMSB_ECOLI', 'YDEP_ECOLI', 'FDNH_ECOLI']",0.5,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
FUMARATE-REDUCTASE,COG1053,COG0479,COG3029,COG3080,,,,,,,,,,,,,,,,,,,,,,,,1,"['FRDA_ECOLI', 'FRDB_ECOLI', 'FRDC_ECOLI', 'SDHB_ECOLI', 'SDHA_ECOLI', 'FRDD_ECOLI']",1,"['3O1D1_MYCTU', 'O53370_MYCTU', 'O53670_MYCTU', 'FRDB_MYCTU', 'FRDC_MYCTU', 'FRDA_MYCTU', 'FRDD_MYCTU', 'O53669_MYCTU', 'Q50616_MYCTU', 'O53371_MYCTU']",0.5,"['Q9CCM1_MYCLE', 'Q7AQF9_MYCLE']",0,[],0,[]
ABC-9-CPLX,COG1120,COG0609,COG0609,COG4594,,,,,,,,,,,,,,,,,,,,,,,,1,"['FECB_ECOLI', 'FECE_ECOLI', 'FEPC_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'FHUB_ECOLI']",0,[],0,[],0,[],0,[]
SECD-SECF-YAJC-YIDC-CPLX,COG0706,COG1862,COG0341,COG0342,,,,,,,,,,,,,,,,,,,,,,,,1,"['SECD_ECOLI', 'SECF_ECOLI', 'YAJC_ECOLI', 'YIDC_ECOLI']",1,"['YIDC_MYCTU', 'YAJC_MYCTU', 'SECF_MYCTU', 'SECD_MYCTU']",1,"['YAJC_MYCLE', 'SECF_MYCLE', 'YIDC_MYCLE', 'SECD_MYCLE']",0.5,"['YIDC_BUCAI', 'YAJC_BUCAI']",0.25,['Q058F6_BUCCC']
ALPHA-SUBUNIT-CPLX,COG2864,COG0437,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'BISC_ECOLI', 'FDOH_ECOLI', 'FDNI_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'YNFG_ECOLI', 'NRFC_ECOLI', 'FDOG_ECOLI', 'FDNG_ECOLI', 'HYBA_ECOLI', 'FDOI_ECOLI', 'YDHX_ECOLI', 'YDHY_ECOLI', 'NAPA_ECOLI', 'DMSB_ECOLI', 'YDEP_ECOLI', 'FDNH_ECOLI']",0.333333333,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
3-ISOPROPYLMALISOM-CPLX,COG0065,COG0066,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['LEUC_ECOLI', 'LEUD_ECOLI']",1,"['LEUC_MYCTU', 'LEUD_MYCTU']",1,"['LEUD_MYCLE', 'LEUC_MYCLE']",0,[],0,[]
ABC-11-CPLX,COG1120,COG0609,COG0614,,,,,,,,,,,,,,,,,,,,,,,,,1,"['FECE_ECOLI', 'FEPC_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'FHUD_ECOLI', 'FHUB_ECOLI', 'BTUF_ECOLI']",0.333333333,"['O53291_MYCTU', 'L7N6B2_MYCTU']",0.333333333,['Q9CBQ4_MYCLE'],0,[],0,[]
CPLX0-7425,COG1396,COG3550,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['HIPB_ECOLI', 'HIPA_ECOLI', 'MQSA_ECOLI', 'SUTR_ECOLI', 'DICA_ECOLI', 'NADR_ECOLI']",0.5,"['RAMB_MYCTU', 'Y474_MYCTU', 'HIGA1_MYCTU', 'O53463_MYCTU', 'PRPR_MYCTU', 'Y023_MYCTU']",0,[],0,[],0,[]
FORMATEDEHYDROGN-CPLX,COG0243,COG0437,COG2864,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'BISC_ECOLI', 'FDOH_ECOLI', 'FDNI_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'YNFG_ECOLI', 'NRFC_ECOLI', 'FDOG_ECOLI', 'FDNG_ECOLI', 'HYBA_ECOLI', 'FDOI_ECOLI', 'YDHX_ECOLI', 'YDHY_ECOLI', 'NAPA_ECOLI', 'DMSB_ECOLI', 'YDEP_ECOLI', 'FDNH_ECOLI']",0.333333333,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
CPLX0-3956,COG0244,COG0222,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RL10_ECOLI', 'RL7_ECOLI']",1,"['RL7_MYCTU', 'RL10_MYCTU']",1,"['RL7_MYCLE', 'RL10_MYCLE']",1,"['RL7_BUCAI', 'RL10_BUCAI']",1,"['RL10_BUCCC', 'RL7_BUCCC']"
TRG-CPLX,COG0643,COG0835,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CHEA_ECOLI', 'MCP3_ECOLI', 'MCP2_ECOLI', 'MCP1_ECOLI', 'AER_ECOLI', 'CHEW_ECOLI', 'MCP4_ECOLI']",0,[],0,[],0,[],0,[]
TAP-CPLX,COG0643,COG0835,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CHEA_ECOLI', 'MCP3_ECOLI', 'MCP2_ECOLI', 'MCP1_ECOLI', 'AER_ECOLI', 'CHEW_ECOLI', 'MCP4_ECOLI']",0,[],0,[],0,[],0,[]
abgT,COG2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ackA,COG0282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allR,COG1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dadX,COG0787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apbE,COG1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appC,COG1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybbW,COG1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tynA,COG3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepN,COG0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampC,COG1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ansP,COG1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampH,COG1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampE,COG3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepP,COG0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amiA,COG0860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adeQ,COG2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldB,COG1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alx,COG0861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amiB,COG0860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amiC,COG0860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampG,COG0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eda,COG0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,COG1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aes,COG0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrF,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig,COG3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiC,COG0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acnB,COG1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adhP,COG1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acpT,COG2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrB,COG0841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiA,COG1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melA,COG1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acs,COG0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adeP,COG2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aer,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aer,COG2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaeB,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrB,COG3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag,COG2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aas,COG0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aas,COG0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbaB,COG1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alsC,COG1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amiD,COG3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allB,COG0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afuB,COG1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allE,COG3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahr,COG1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metL,COG0460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metL,COG0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaC,COG0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allC,COG0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alsB,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malS,COG0366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnF,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chbF,COG1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
def,COG0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnD,COG0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aroB,COG0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheY,COG0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheZ,COG3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnC,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG0399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnE,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
araJ,COG2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argE,COG0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argO,COG1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argT,COG0834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaA,COG0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atpC,COG0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atpF,COG0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clpX,COG1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clsA,COG1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atoB,COG0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheA,COG0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheA,COG1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atpB,COG0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argA,COG0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argA,COG1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clcB,COG0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tag,COG0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clpB,COG0542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgtA,COG0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atoE,COG2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aroG,COG0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cirA,COG4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aroL,COG0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aroP,COG1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clcA,COG0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ansB,COG0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rna,COG3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argG,COG0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clpS,COG2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqpZ,COG0580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argB,COG0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
